,出發時間,行車時間,抵達時間,車次,自由座車廂,早鳥
0,15:00,01:39,16:39,0834,9-12,
1,15:08,01:25,16:33,0652,8-12,
2,15:19,01:25,16:44,1318,10-12,
3,15:32,01:27,16:59,0654,9-12,
4,16:00,01:39,17:39,0838,8-12,
5,16:08,01:25,17:33,0658,8-12,
6,16:19,01:25,17:44,1320,9-12,
7,16:32,01:27,17:59,0660,8-12,
8,17:00,01:39,18:39,0842,8-12,
9,17:08,01:25,18:33,0664,8-12,
10,17:32,01:27,18:59,0666,8-12,
11,18:00,01:39,19:39,0846,8-12,
12,18:08,01:25,19:33,0670,8-12,
13,18:19,01:25,19:44,1324,10-12,
14,18:32,01:27,19:59,0672,8-12,
15,19:00,01:39,20:39,0850,8-12,
16,19:08,01:25,20:33,0676,8-12,
17,19:19,01:25,20:44,1326,9-12,
18,19:32,01:27,20:59,0678,8-12,
19,20:00,01:39,21:39,0854,8-12,
20,20:08,01:25,21:33,1682,8-12,
21,20:19,01:25,21:44,1328,9-12,
22,20:32,01:27,21:59,0684,8-12,
23,21:00,01:39,22:39,0858,8-12,
24,21:08,01:25,22:33,1688,8-12,
25,21:19,01:25,22:44,1330,10-12,
26,21:37,01:27,23:04,0690,9-12,
27,22:03,01:41,23:44,0862,10-12,
28,22:21,01:32,23:53,1336,11-12,
29,22:32,01:27,23:59,0696,10-12,
30,22:52,01:27,00:19,1698,11-12,
