,出發時間,行車時間,抵達時間,車次,自由座車廂,早鳥
0,15:11,01:43,16:54,0837,10-12,
1,15:46,01:27,17:13,0657,10-12,
2,16:01,01:27,17:28,1321,10-12,
3,16:11,01:43,17:54,0841,10-12,
4,16:21,01:27,17:48,0661,10-12,
5,16:46,01:27,18:13,0663,10-12,
6,17:11,01:43,18:54,0845,9-12,
7,17:21,01:27,18:48,0667,10-12,
8,17:46,01:27,19:13,0669,8-12,
9,18:11,01:43,19:54,0849,8-12,
10,18:21,01:27,19:48,0673,8-12,
11,18:46,01:27,20:13,0675,9-12,
12,19:11,01:43,20:54,0853,8-12,
13,19:46,01:27,21:13,0681,8-12,
14,20:11,01:43,21:54,0857,9-12,
15,20:46,01:27,22:13,0687,9-12,
16,21:11,01:43,22:54,0861,10-12,
17,21:41,01:27,23:08,0693,10-12,
18,21:56,01:26,23:22,0333,10-12,
19,22:16,01:13,23:29,0295,10-12,
