,車種,起訖站,到站,發車
0,區間,樹林>蘇澳,05:24,05:26
1,區間,樹林>基隆,05:43,05:45
2,區間,中壢>蘇澳,06:07,06:17
3,太魯閣,樹林>知本,06:11,06:13
4,區間快,桃園>花蓮,06:25,06:28
5,區間,新竹>基隆,06:33,06:35
6,普悠瑪,樹林>臺東,06:37,06:40
7,區間,樹林>瑞芳,06:47,06:50
8,區間,北湖>基隆,06:52,06:55
9,區間,新竹>基隆,07:08,07:10
10,自強(3000)(EMU3000型電車),樹林>臺東,07:12,07:15
11,自強(推拉式自強號且無自行車車廂),苗栗>花蓮,07:21,07:24
12,自強(3000)(EMU3000型電車),樹林>臺東,07:25,07:30
13,區間,北湖>蘇澳,07:30,07:34
14,區間,苗栗>基隆,07:40,07:42
15,區間,楊梅>福隆,07:48,07:50
16,自強(3000)(EMU3000型電車),樹林>臺東,07:52,07:55
17,區間,新竹>基隆,07:57,08:00
18,區間,湖口>七堵,08:02,08:05
19,自強(商務專開列車),臺北>臺北-環島,08:10,08:10
20,區間,北湖>瑞芳,08:12,08:15
21,自強(推拉式自強號且有自行車車廂),斗六>七堵,08:16,08:20
22,區間,樹林>汐止,08:22,08:24
23,區間,新竹>基隆,08:27,08:30
24,區間快,鶯歌>蘇澳新,08:31,08:35
25,自強(3000)(EMU3000型電車),員林>臺東,08:37,08:40
26,區間,彰化>基隆,08:44,08:46
27,自強(推拉式自強號且無自行車車廂),樹林>花蓮,08:49,08:52
28,區間,北湖>瑞芳,08:56,08:58
29,區間快,彰化>基隆,09:01,09:04
30,區間,三義>基隆,09:12,09:14
31,普悠瑪,彰化>花蓮,09:16,09:20
32,區間,樹林>蘇澳,09:22,09:24
33,區間,二水>基隆,09:35,09:38
34,自強(3000)(EMU3000型電車),斗六>花蓮,09:41,09:45
35,區間,苗栗>瑞芳,09:47,09:49
36,自強(推拉式自強號且有自行車車廂),嘉義>花蓮,09:56,10:00
37,區間快,樹林>花蓮,10:03,10:06
38,區間,嘉義>基隆,10:09,10:11
39,區間,新竹>瑞芳,10:16,10:18
40,普悠瑪,樹林>花蓮,10:21,10:24
41,區間,樹林>蘇澳,10:27,10:29
42,區間,苗栗>基隆,10:32,10:34
43,自強(3000)(EMU3000型電車),樹林>新左營,10:35,10:40
44,自強(3000)(EMU3000型電車),潮州>七堵,10:39,10:44
45,自強(3000)(EMU3000型電車),潮州>七堵,10:47,10:50
46,區間,嘉義>基隆,10:57,11:00
47,區間,新竹>基隆,11:10,11:12
48,區間,樹林>蘇澳,11:16,11:18
49,區間,苗栗>基隆,11:30,11:32
50,普悠瑪,臺東>南港,11:34,11:37
51,自強(3000)(EMU3000型電車),樹林>瑞穗,11:41,11:45
52,區間快,樹林>花蓮,11:52,11:55
53,區間,嘉義>基隆,11:58,12:00
54,自強(推拉式自強號且無自行車車廂),潮州>基隆,12:02,12:05
55,區間,樹林>七堵,12:10,12:12
56,區間快,樹林>花蓮,12:17,12:21
57,區間,新竹>基隆,12:24,12:26
58,區間,樹林>蘇澳,12:30,12:32
59,區間,苗栗>基隆,12:37,12:39
60,自強(3000)(EMU3000型電車),樹林>知本,12:41,12:45
61,區間,嘉義>基隆,12:53,12:55
62,自強(推拉式自強號且無自行車車廂),潮州>七堵,13:00,13:03
63,普悠瑪,樹林>花蓮,13:04,13:08
64,區間快,潮州>七堵,13:12,13:14
65,區間,樹林>蘇澳,13:18,13:20
66,區間,新竹>基隆,13:23,13:25
67,區間,苗栗>基隆,13:34,13:36
68,區間,新營>瑞芳,13:49,13:50
69,自強(3000)(EMU3000型電車),樹林>新左營,13:55,14:00
70,自強(推拉式自強號且無自行車車廂),屏東>七堵,14:00,14:04
71,區間,新竹>基隆,14:18,14:20
72,自強(3000)(EMU3000型電車),樹林>壽豐,14:21,14:25
73,區間,樹林>蘇澳,14:26,14:30
74,莒光(無身障座位),新左營>七堵,14:30,14:34
75,區間,苗栗>基隆,14:36,14:39
76,區間,嘉義>瑞芳,14:49,14:51
77,區間快,樹林>花蓮,14:54,14:57
78,自強(推拉式自強號且無自行車車廂),潮州>七堵,15:00,15:03
79,太魯閣,樹林>臺東,15:05,15:08
80,區間,北湖>基隆,15:13,15:15
81,自強(3000)(EMU3000型電車),潮州>七堵,15:18,15:21
82,區間,樹林>蘇澳,15:26,15:28
83,區間,苗栗>基隆,15:35,15:37
84,自強(DMU3100型柴聯),樹林>花蓮,15:44,15:48
85,區間,北湖>基隆,15:55,15:57
86,自強(推拉式自強號且無自行車車廂),潮州>花蓮,16:00,16:03
87,自強(3000)(EMU3000型電車),樹林>新左營,16:07,16:10
88,區間,苗栗>基隆,16:16,16:18
89,區間,新竹>基隆,16:26,16:28
90,區間,樹林>南澳,16:32,16:35
91,區間,樹林>基隆,16:43,16:45
92,區間,北湖>基隆,16:52,16:54
93,自強(推拉式自強號且無自行車車廂),潮州>基隆,17:00,17:03
94,自強(3000)(EMU3000型電車),樹林>臺東,17:05,17:09
95,區間,新竹>基隆,17:11,17:14
96,莒光(無身障座位),高雄>七堵,17:15,17:18
97,區間,樹林>宜蘭,17:21,17:24
98,區間,苗栗>基隆,17:31,17:34
99,普悠瑪,彰化>花蓮,17:36,17:40
100,區間,樹林>基隆,17:43,17:44
101,區間,北湖>蘇澳,17:47,17:50
102,自強(推拉式自強號且無自行車車廂),潮州>瑞芳,17:51,17:54
103,太魯閣,樹林>臺東,17:55,18:00
104,區間,嘉義>基隆,18:02,18:04
105,區間,北湖>福隆,18:09,18:11
106,普悠瑪,枋寮>南港,18:15,18:18
107,區間,新竹>基隆,18:21,18:23
108,自強(3000)(EMU3000型電車),樹林>臺東,18:24,18:28
109,自強(推拉式自強號且無自行車車廂),屏東>基隆,18:29,18:33
110,自強(DMU3100型柴聯),樹林>花蓮,18:36,18:40
111,區間,苗栗>基隆,18:42,18:45
112,區間,樹林>瑞芳,18:47,18:50
113,自強(3000)(EMU3000型電車),彰化>臺東,18:51,18:55
114,區間,竹南>基隆,19:03,19:05
115,普悠瑪,潮州>南港,19:07,19:10
116,區間快,湖口>花蓮,19:12,19:15
117,太魯閣,樹林>花蓮,19:17,19:20
118,區間,新竹>基隆,19:22,19:25
119,區間,桃園>南澳,19:32,19:34
120,區間,苗栗>基隆,19:38,19:40
121,自強(推拉式自強號且無自行車車廂),屏東>基隆,19:42,19:46
122,區間,嘉義>基隆,19:58,20:00
123,太魯閣,樹林>臺東,20:01,20:05
124,區間快,樹林>蘇澳,20:08,20:11
125,區間,新竹>基隆,20:15,20:17
126,區間,樹林>蘇澳,20:20,20:22
127,區間,苗栗>基隆,20:25,20:28
128,自強(推拉式自強號且無自行車車廂),屏東>七堵,20:30,20:33
129,區間快,二水>七堵,20:34,20:37
130,自強(3000)(EMU3000型電車),樹林>壽豐,20:39,20:42
131,區間,嘉義>基隆,20:50,20:53
132,自強(推拉式自強號且無自行車車廂),彰化>七堵,20:59,21:02
133,莒光(有身障座位),潮州>花蓮,21:02,21:05
134,區間,新竹>基隆,21:06,21:09
135,自強(推拉式自強號且有自行車車廂),潮州>七堵,21:10,21:14
136,普悠瑪,彰化>花蓮,21:16,21:20
137,區間,樹林>宜蘭,21:23,21:25
138,區間,苗栗>基隆,21:28,21:31
139,區間快,潮州>七堵,21:32,21:37
140,區間,新竹>基隆,21:51,21:54
141,普悠瑪,樹林>花蓮,21:55,22:00
142,自強(推拉式自強號且無自行車車廂),屏東>基隆,22:00,22:04
143,區間,北湖>福隆,22:06,22:10
144,自強(3000)(EMU3000型電車),潮州>七堵,22:10,22:15
145,區間,樹林>基隆,22:16,22:19
146,自強(3000)(EMU3000型電車),臺東>七堵,22:20,22:25
147,區間,嘉義>七堵,22:26,22:30
148,區間,苗栗>基隆,22:35,22:37
149,區間,中壢>瑞芳,22:43,22:45
150,區間,嘉義>基隆,22:57,23:00
151,區間,新竹>南港,23:11,23:13
152,自強(推拉式自強號且無自行車車廂),屏東>七堵,23:15,23:18
153,區間快,嘉義>七堵,23:23,23:25
154,區間,嘉義>基隆,23:45,23:47
155,"莒光(有身障座位,有自行車車廂)",潮州>臺東,23:55,23:58
156,自強(推拉式自強號且無自行車車廂),屏東>七堵,00:01,00:03
157,區間,苗栗>臺北,00:09,00:09
